Name,Image,RevitFamily,Style,Hook At Start,Hook At End,HookOrientation0,HookOrientation1,RevitVersion,CreatedByOrganization,LengthParameter,RhinoBaseLineType,CreationMethod,Progress,Notes
00,00.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/Mj8Ob7IhwGrD0z43ikG5Bg/64nXMsVQmjrLa3IHH5_R3GyUb5sqRszAwDM4Zw9sPfcs6whpnj75RmbvPtYsnDgA6lIUMtN8KqG7b6DO5gQJf99M5SDNMXWylMRBSAYf-kl6L4kMiwbjOJzP3mc7aibsfKUbwnxItk_VRsDCRZx65A/4NNStcid6wXwHjG3iSqt7CjYLouN8Ke97b4asyoAnDY),00.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/spIuMZ-wK7u7fWFx_kOduw/HrfZMPwMRKfM8LB291siKtia-wWyi0KIe0hPBa0H4Eo6WNbczpydj_lgcC8ifpL8I5hHcnkmfm7P5y0yiREy0Sns8i_F-Ve8D-scUcplVvuez_RiFZ3chsd2aeoeRU3pR8uhJXHIqDdXuPR9vEMiJA/A-EdB4kYwJ50phX-sRczTTJhOHcgXAEm9MarR1kQ_rs),Standard,0,0,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
01,01.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/giNxUstOpkFGrRNDhfBs4g/I9j8f3cgGqeZX7F4okiPqBn-Y6fcQwSPRDN1qvYRejEdiEdkk2wN1EmdvcvahImOydCQg83g9uCaS0Fi5cu8Lv6sZ9xe1IPCW6Hc5VAG0F7RW9pL9fwZVEBQ3SjKrkf63o4vjgP6uVtnFb1zw11dUg/JJvNDW7b2LoMkan1i-5DWSjBjhq7nyx7h1ItD_w7c9I),01.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/TszR7RcFPpC9sMD4TR4nMQ/kBoo8hv4SBM_UyxCHisJqjLeSW5k2WsxsjcmmHDArm0sOh1Y4j88LXaDJsqvXwEsUQaZJV4OSJ1vzd-5beumobYrsnnCIK9RVobYv5RUun_BoTlKTAE-9VeE0XGrEI7qzbXS9n_qvFMiznrk_Dbbig/idbCbZ4ilRmP7QJwcKZDja7S4kos8NzCub8Y0w51c4w),Standard,90,90,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
02,02.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/GXBlij12z9-5lsSl1s0SHA/Pu-3qJUG781KrdGrQGA0PuBT07JWp-M5__8cf7xE6JgEgq6v28Aqgcy0T0IvuKQ8_aExI6lJAF8WMd9k-XPkMezujUulXdlCVUjk8cxoI5va9hvkk0LVuyz4Na60pXhRgchifNzIeR-Od4mbBmkM2A/0JUJadm3AtvFtCEu91ug292aNd-y8DiQPcXcxrI1Uxg),02.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/vXGhDVS0FnjfpmUdh0YFGA/62y381eSAemEFAGa6iUJgmgtccZTGc9euFX3SL3ySAWnTXA6sZVwrwzkW89pTxSNJoa7_ZWQvgnvql_HywY_a7uYkjLVnhAkHk03uSin3MmEPcBoaJozLffpoErPPeDfGhbQAFypXgITJYiGL-o1Lw/gtUNaIQw_ECES72HlsgP5UbLS8HBYFcEBDsUZOB0X4g),Standard,180,180,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
03,03.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/U2Ts9yjG1RGFxNBqEX1-_g/gySzMl6Rr6eQxu73QabsXLT5seJn8_kI1649wE89F0PXur8BP51ZDX_WQpE1pD1wtpdInVKFx9DBl6bBwXNbkdFigHv7QQ0E4kCx1so6Oj3oxXiWqr1T_pvAnXVnVHjG36N8MUfRUGaSRdAiuQQZmA/Nni83bD95dfdfhi4C-lulGelmJ5Yel0Ys-tQIJC3vA0),03.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/BkQSpdFDarMFGbvRWO_q-Q/bUI2g6eg-TQv3EgwI0N1DJBF07OUr4hBBoI9F7v9WC8RP9AUfVKYqM1CmcINFDGAc88b8HUHu8E5XQsX9cXcQvcUqpYzCyMM1-nVivMJOabE3_EHC1gh_LTnQ3lB8XpcuPVvCQL1MSas0eBh6C9icg/Fv8itNcGvoV5CTtA5JxADLB8qSb7-jLEZwS9bRx8cY0),Standard,90,90,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
04,04.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/Bwe3VEa78pON2d1A1w2NYA/cRs3fyguZeCxPxtJz8K82ieELLCYEUvPsj327Z9AkHELHLKmxmWfulv9DGq9QqhErMoh3ZikYTJEEpBcUH5NGTFQNmVCobHxjnymTCY985q0EmM_6l2c-SocCV89c05CUGITj9XEsrJFLy6o-9_swg/2G6TahWUSPMaMAKgc3-lJRg0EEtnCOqWsavVpxG_pZE),04.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/xbUXpGe9sej_IUUiIMgqSg/YxWZ58HsNJoR9g9GojS0uil2LbCnIw0ASBC3X_J6Pqb5ZN8MOSEDNgkyjZdl_ilnCuG5ubF-XkNGca_ned2Lq0UAMNWxQfTpBKdna3tYFvkysEB3BBo-Y2Q-4KDH6EFX2IDRpqDv1JL-ZhabTApMDQ/DiCOkwGVJWNhgq9jjlBTyiH-IfCSa3M3AYj13nmbXC8),Standard,90,180,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
05,05.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/8rSUy123GkB3vtCO13QS8Q/aNeHJ6Lay8SZaN-9jaIGBogFPYoRGWppxwy22n1xT0INPTC9V0RAi4hIp_bBJTe1w0Ktv1gGUI88iDlWmJcKvP_3ZLRwVOgOLuUFRbguEFfI8mKmrDFXV-hzC-zPvJAThysKhi79k3HwC_rMqptznw/X7SZwXdHp7s59E5NzWkco-c_G9Fk6oeTfAXNFYePGwo),05.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/2foVWj2btjE5NIrqT4IUlA/gLHtGr_fbSTbb6cAPP1-ahFUW0HcxAcoUaY-vCq6sC517pHmz1kpf1yFmMtGqtiKpUZ9_rie3zxmF0emmcJ_iMEJjEEyZfNserNbL0oEU3Gt8yIOPhhaLkQj8ydnmrbL3ODnF0dGRgJDTKh7v2M-vA/kSkhTv8nHFKxJoIc6U_Ew9wmb46ATkxzJL6LJn-8_LQ),Standard,180,180,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
06,06.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/jPBIQBLtsIcNJ-gFpqZFbw/Z-gIqnesjxQb7QPpVSysos5AsE-8TqX3Hj9So1wyGfGbe0SK0w3xWf-ndcY7lTipRxmEVrYb-Ygimv92YJiQHJAzk4EbMdbYjtG7JVjY78pUnUHkEMhnKgZT4AK4CjbQ_GY6nF0Vn45NomyZtc4Row/K2HE_zJjQZq5fykEoTHDzE1tcoDZBFaGH_b-0DqaHSg),06.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/0HxkFKImhTySTckubGFHQg/5Ki_rGYqVnSkMIJAEPSYlwja7p8xaHPZuPZfYBWyEKqxfGUiBcXxB2aacuBWtfgo-Ltlex0y8C763sWg5JvEalanER1Knpr4lc_zm_zEyVI-CFKi6YWIoNIXLBRBu_-sMJrAR-5Vp0HpP15H7ndxZw/m6FsPY37VwTDA0tlHlBbaMTQdHCBIy0jJg4klN2mvQU),Standard,0,0,Left,Right,2023,Autodesk,"a,b",rg02,CurveAndShape,Done,
07,07.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/junjNt7TRbsoYi_jlt3oxg/WgOVzSFuEh6QCVpsbSr-VmM-Tmwsnc93wJ3ir1zE6ytm21hRhIbYxNcix35wfFkrZVIKQhd-IxMkRQHWNMBiIC0vXQ-9--JZqjlhCd9PIznyc2TPjT6-ZLXQEwFH3l9kHUHStjyWnWp-5BXGwKxxvg/23ui_oKvv-CDgbh0yzbp4wTz9mOWyi7W0WlJMhUhSSI),07.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/o15niSDfZdHVrfWh5TvQEA/Mbumeu-FxVwRRGKjay7z7RgUcm-BfECdY8WyjrS4g2q0NYlgR2fVlT7R1XYiTn3Uvhkw_lSJSF0LFHM80spIVMHyqEHNPcFpewBzqXNBjIrFECHF9ob65s5zbeR3lEEOTm6P35yGoznkm3kcoI0rSw/ac2DdWJjVuRVp-pgqKFHRoJkc_GX1TGO3YP6VGAugHc),Standard,180,180,Left,Left,2023,Autodesk,"a,b",rg02,CurveAndShape,Done,
08,08.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/EgiuM5CRmk83lOIBDPUe1A/oQkiR6HJ1jtvnUSPY4KOtuYkGjA1e8uYbAsUk2Kh8xf0KPb9s8gAohMmBXor50seN3UNborDtjc0Rslx9oEeSPAyo7oRULn1hiYVOl7Im215VsEkbfaFrKYnDEp0jGv2heAzOyBlA7oH9npyQUR_EA/Kt3cCe2yNKWCCx1ATJq1F1dO7BWcs09NJkDjiZU3sAE),08.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/6JIzaRlppX01SERfb2DTyg/pcYPRs6ZhrmbaPGE_WCe3ro83WSm0VZUgQ0oVR4QN-EPucZ64D99jJoBxDdQxpMVgiB4jQyd37x3sTmoIGcrxMkCJEwiP9TsjaP563VQ25YpIe_qLLS_o9TqZlk8k3mnzHBC6miWmn4LFclqDiGy5g/pJW62Nel2RGqPW7-oZvsmn-GPaEu-SVtzYKo6lCpBus),Standard,180,180,Right,Left,2023,Autodesk,"a,b,c,d,e,x",rg16,CurveAndShape,Creating,
09,09.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/9bjc0lQOec2K8LJEZSxJ-g/rSTRnivSqZBqqSH1lEmUg6hq6NoKCl9N1JOJNh2YQGovpt45fvbOqtbzyhs3eAHoNlPTlbTuwJJP5kquYygY9dknyBKPOizJd6k3f-rvXJbFu0j6dHby9aiZSNmycaQZMMCTq36eeWg6SUcNsTnecA/AzACcHtCQKxsMQx786njkNo2MCCya5vLIf08Fi5xJjc),09.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/8cl6-vTiCJdD_MctdVCkOg/KNywQCEfWhG75KLYmM8rgTSLl_THflG8zIhZdHAc9x4qHYD1zd7e8THgYTbRrHO_uUGyGyoGg_ESMbSqMcfn3o5KoGi6jwRvkOIJ2dlrJIRB5oh3ktFOuh-6oNYhrPJiAD6LSf0rvdsGgAvobV3bIg/aXUQnFUjZ_9ZePjFha9WkAF_Sn38RZZk6pjw4KUhyeE),Standard,90,90,Right,Left,2023,Autodesk,"a,b,c,d,e,x",rg16,CurveAndShape,Creating,
10,10.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/C6-j8v8gh6MI_BAaR3OZWQ/z-M6sQ-xGAuvEe-IEX-oqNgJ3XSJrDRdrnwuBrrcjWrvDeOvFIjy_MCj8oDXeTu5NT_XOtdkw4epFFHWU8Ua9APzbsmFU3ipCIWwVt8yYC2XWmg-sqVtHIfXF5JyJmeTxyVEhaN0IXdobadSnHzxLw/JBqA-68bVlcraxtx9r-eHmju1_VmEoNaEG49-jZfqNY),10.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/Ekj46zLw_ChdSMnIN9h64A/gYTmLfE1rpIr8JTrdno0AVjUAN-kHH7OpT1epbIaW5uF8u9eT8UnA-yVTEKg3xa8M4VLIhQXlpSNShOEde57ydZarHOSfqkrg6yesrH4evkVEp1JRQLOlly-nT0rIbjm2Jk9EuIKYc3H11w81fZoRw/8CIF73tauiJqoWxaPfegYKetOm1NzH4OeMktGb7y8i8),Standard,0,180,Left,Left,2023,Autodesk,"a,b,c,x",rg18,CurveAndShape,Creating,
11,11.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/tIt24HyJUIwrAmU_mpsEFg/nlLW8EUR_Exn8WyklvL1ls14wRAjntmJDi7a6PgwvGJsf2Crrd4GmxCL57stbbrxQj8g6hVEP8zKYgnoq4aSpqQXIGnOk-hKkfvdOkhwnA77VKK39htXRqCC_Op2oR3cCsOtMRTxDf8s5bBFc2xRyg/MQemXACeKFtkcgsIdpMz5tAp2mcwkAhsgaGZZ0AKinY),11.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/MyNvgiQbYDCin2S45reXwA/sOTMgcHWGZmIAK8OXy2dZxHiCUySEvjpuq7ltocu4SYdAesRYaMpRm3HsSOUs9CfWz7vZRQpSgqe-JXm1iepk4n92m55_GyRy05F8VgDi71Z7hGJnks5KDyrUoRCt7hWK_XC5UnEfJ4hSknZEdtQGQ/_kQw2ZcDlObLix7U6wAHhfAkIynfSyFXAZZUzsGYdN0),Standard,0,90,Left,Left,2023,Autodesk,"a,b,c,x",rg18,CurveAndShape,Creating,
12,12.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/H29wDsKHdVv0Z7m8L4CvPQ/QxOUNZMfdoHOe5VrUxHPqT5x-VEAW6AP7bc3LVFw0XinoSmfYOLRre7VxZQLSXRs2-ZpqYHr_58J5bAjvx8JJ4zXugRs_OOm-U67y3QhH6aOWBaQRDdwhipaPLegok9kSvmA00a_U1kX4NdCTQ9OdA/lCuTQIGQqrcnMi-LAesTA_Zfrs4hRlokabjmVhc0iXo),12.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/qHjMn0hKkPHE9K3WVb1Iag/YnZSu9mP0UUwsWHV5SCUdsatZvXrdtJkdK0oW5LAA4J2Sx6rdTKJxuI7yB6zg6QFMELsNFzp_6sy9WL5V98aFWGxgcXOCdt8Ls7ppmFJR3ggTgUOxiee1LumtmEU07_y1ipCDdVuPWNBrN3w4PUPeg/zKkyTmUg8naMTH-Mz_xlZqKNK7dGNqFboL7tpRBwjV8),Standard,0,0,Left,Left,2023,Autodesk,"a,b,x",rg19,CurveAndShape,Creating,
13,13.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/mlZIEx7znk2zgnEFROu8IQ/zLQEqVwrFwdHvKiGJq8uEhLzgGeOSMXWLghKioWySTKsPITN2GPuk_luzoZJTgH_Yw_SXAP5BVl4UihwCLiQK0g3580TJPrGgKXdLZBUkwPkYLaQg2v_tugWaWgsGTOr802yn58Z5jwTk23Q98n5cQ/nljwKuEOf2gkPpI_kowwQuinqD9tPjR4LKbXF3PwQxA),13.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/koFgotoGsH7UqmkHQIDqQw/CtFM4QwWJ2uCLhco6YEbR-m8dmCAObdx5i2kueqitjYXOAuLXoShOytXqTQqjLd5yV-mXdrdqdGztzqXAyoAwKAH4DLq0EZqkAkHZ1g92-drEL9IJ5SrtJTb-NmlVXjoVjTSoIywGOoZ1M6Nx1RrqA/8Xoyq4BkjxvaF7-n2HzrMSSn12djI-mQX5OrIB5hNTc),Standard,0,0,Left,Left,2023,Autodesk,"a,b",rg03,CurveAndShape,Done,
14,14.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/7wtzkhPhbyVH5OxAO_FJDw/D1rp6s0NA0kVD8HY0074lIQNMlhyWvoln0ks5fdvm2-_opWv4fU-ShbE2oA3g1QK_dTgR197fqXVfu8s2PEfeCu_vQvuA5JFRz8wJRuIoiGv9v81fSwe1WG0Wuksr6a-6l5WLdaV5AZjJjTSJxL2DA/y1KaaDCz7rdlkv9u82OlAvTauBsu2GLUGagRiKDA4E4),14.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/LjPURmhCarCLgChA2YGunQ/nF07o-j3HpyvkbqDSi5QZG6gWtslINAvLkvCQ7ynOAshUZCiuIXwW4RWjguXJ6o2EV6hL8FJeOs_kumrXsuU8Kxt2HXBiz7-bc7mW2jvb8Rq7uaSFAQRNj2YRQdWFXKGVQXIaemP4Jb9IHfTd_MxHA/yjbvztAbgBM5k0Bmbhoc3P7BzRwvG2poenpwrSPk1mI),Standard,90,90,Left,Left,2023,Autodesk,"a,b,c",rg05,CurveAndShape,Done,
15,15.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/tM8i-qq1JYRka53E5Jts_A/NbZYpn6Bv8SOwQjZ7MnYjoYB0syBzpOz2HtoZvxFxsq-vLi-ojYufaUoaOk9439mYnKdPqLu0f3XDFA5TBrjfUYFn-no92faxSITh-UXNVzmKPmZt8yrm8OpWfBXz7qwI92fdn9mLmt2_FX5U3Sl8A/cfwGcaVWZUkktlSXIuikkM41SkoiwSvl0_DR6Dm2Kns),15.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/rQY2RW_ulEffmWXnnaG7cA/41SyKXYewNJ3dxRqOnuzXstZd1wKbfNBzAmtHXTJkXox2R4bfyE5EMwhhVJSwqZ2USPu8UN05HyqyVngbDsF6mnBHdCMh5McsBsnGeOlJTLaD2e7NIowXwNGDWONpT8_uP6lq9FEuWsZ9xJ5_9MBYg/-AY2H0LVfCmSkzQmvEjefIL09YRO51YSNqpHQS5k_Ic),Standard,90,90,Right,Right,2023,Autodesk,"a,b,c",rg05,CurveAndShape,Done,
